市区町村名	市区町村コード	1974年	1976年	1979年	1982年	1985年	1988年	1991年	1994年	1997年	1999年	2002年	2004年	2007年
京都府 京都市	261009	693,568 	916,364 	1,149,777 	1,456,777 	1,527,665 	1,794,494 	2,118,851 	2,285,001 	2,312,069 	2,305,937 	2,008,491 	2,036,817 	2,013,745 
京都府 福知山市	262013	27,661 	34,108 	49,779 	65,591 	71,571 	82,163 	100,633 	101,855 	109,415 	109,929 	94,988 	87,180 	94,213 
京都府 舞鶴市	262021	37,641 	49,909 	64,781 	80,711 	85,329 	90,923 	104,854 	111,853 	118,151 	112,891 	107,113 	100,604 	95,098 
京都府 綾部市	262030	13,596 	16,951 	21,692 	26,538 	28,199 	31,247 	36,406 	34,909 	36,845 	37,683 	32,570 	37,259 	39,658 
京都府 宇治市	262048	28,005 	42,551 	64,333 	89,193 	98,794 	114,818 	145,362 	150,479 	167,647 	180,789 	144,101 	148,689 	142,200 
京都府 宮津市	262056	12,079 	14,208 	17,972 	21,907 	24,030 	26,259 	27,999 	29,094 	26,163 	23,628 	21,803 	23,242 	22,125 
京都府 亀岡市	262064	15,475 	24,322 	35,993 	46,718 	54,614 	65,526 	89,679 	93,142 	102,879 	101,372 	91,295 	88,302 	85,967 
京都府 城陽市	262072	13,858 	21,225 	32,075 	48,996 	49,649 	61,219 	75,299 	89,663 	83,326 	77,813 	63,193 	68,947 	62,044 
京都府 向日市	262081	13,563 	20,429 	28,912 	30,787 	35,720 	37,769 	48,411 	48,893 	51,452 	50,533 	42,289 	44,210 	42,853 
京都府 長岡京市	262099	17,835 	25,846 	35,407 	43,666 	47,929 	56,204 	64,626 	63,819 	63,411 	56,369 	52,687 	50,872 	47,287 
京都府 八幡市	262102	－	9,078 	14,592 	21,059 	27,526 	29,088 	35,932 	41,591 	45,635 	43,051 	48,547 	48,159 	58,377 
京都府 京田辺市	262111	5,744 	8,681 	13,201 	18,996 	22,853 	26,258 	36,553 	34,801 	40,901 	48,492 	47,727 	49,634 	45,717 
京都府 京丹後市	262129	18,971 	26,797 	33,950 	45,143 	47,464 	52,233 	70,739 	72,983 	75,404 	68,881 	65,668 	61,356 	61,457 
京都府 南丹市	262137	7,221 	13,596 	14,978 	21,369 	22,851 	23,295 	21,724 	25,433 	27,938 	23,004 	18,007 	18,544 	21,396 
京都府 木津川市	262145	7,129 	4,135 	10,894 	15,292 	19,783 	20,590 	24,693 	27,357 	24,708 	27,467 	33,543 	42,260 	41,617 
京都府 大山崎町	263036	1,432 	－	3,352 	4,389 	4,408 	5,402 	5,223 	5,325 	4,535 	6,034 	4,486 	4,401 	5,335 
京都府 久御山町	263222	2,623 	5,015 	8,463 	12,100 	12,918 	15,836 	21,631 	21,375 	29,240 	22,627 	43,749 	46,167 	52,803 
京都府 井手町	263435	1,508 	1,912 	2,421 	3,274 	3,837 	4,372 	4,818 	4,897 	4,787 	3,966 	3,433 	2,948 	2,376 
京都府 宇治田原町	263443	－	2,323 	3,519 	5,353 	6,069 	7,555 	11,029 	14,797 	19,557 	23,238 	22,955 	22,747 	20,830 
京都府 笠置町	263648	365 	769 	899 	－	－	－	－	－	－	－	－	839 	1,794 
京都府 和束町	263656	1,075 	2,225 	1,933 	2,826 	2,462 	2,747 	3,839 	4,078 	4,104 	3,322 	2,446 	2,162 	2,244 
京都府 精華町	263664	1,868 	2,553 	3,811 	5,471 	5,665 	6,734 	8,359 	8,356 	13,162 	14,541 	13,048 	13,808 	23,610 
京都府 南山城村	263672	－	545 	633 	－	1,279 	1,273 	－	1,296 	1,532 	1,540 	－	－	－
京都府 京丹波町	264075	1,842 	3,845 	5,023 	9,498 	10,575 	11,474 	11,554 	12,641 	11,384 	12,565 	11,727 	10,648 	14,209 
京都府 伊根町	264636	438 	669 	752 	－	－	－	960 	1,154 	840 	854 	610 	－	－
